# i|vi|en|ko   (chỉ liệt kê các dòng cần dịch; ô rỗng = giữ nguyên chuỗi gốc)
50|Văn phòng — địa chỉ đăng ký & không gian làm việc||사무실 — 등록 주소 및 워크스페이스
51|VĂN PHÒNG||사무실
52|||버추얼 · 서비스드
53|· Địa chỉ đăng ký||· 등록 주소
54|· Văn phòng serviced / virtual||· 서비스드 / 버추얼 오피스
55|· Mặt bằng KCN||· 산업단지 사무공간
56|Thuế & Kế toán — VAS, CIT, VAT||세무 & 회계 — VAS, CIT, VAT
57|THUẾ &||세무 &
58|KẾ TOÁN · VAS||회계 · VAS
59|· Hạch toán theo VAS||· VAS 기준 회계
60|· Kê khai CIT & VAT||· 법인세 & 부가세 신고
61|· Tuân thủ hằng năm||· 연간 컴플라이언스
62|Nhân sự & Lao động — giấy phép, payroll, tuyển dụng||인사 & 노무 — 허가, 급여, 채용
63|NHÂN SỰ & LAO ĐỘNG||인사 & 노무
64|GIẤY PHÉP · PAYROLL||허가 · 급여
65|· Work Permit & TRC||· 워크퍼밋 & TRC
66|· Bảng lương||· 급여 관리
67|· Headhunt nhân sự||· 현지 헤드헌팅
68|HÀN QUỐC||한국
69|MỘT ĐỐI TÁC · GIẢI PHÁP TOÀN DIỆN||하나의 파트너 · 토탈 솔루션
70|Thành lập doanh nghiệp||법인 설립
71|IRC & ERC · Gia nhập thị trường||IRC & ERC · 시장 진입
72||Establishing a 100% foreign-invested company, bilingual charter, and obtaining IRC & ERC directly at the Ministry of Planning and Investment.|100% 외국인 투자 법인 설립, 이중 언어 정관, 계획투자부(MPI)에서 IRC & ERC 직접 취득 지원.
73|Văn phòng & Mặt bằng||사무실 & 워크스페이스
74|||버추얼 · 서비스드 · 산업단지
75||Legal registered address, serviced/virtual offices, and industrial-zone space from North to South.|법적 등록 주소, 서비스드/버추얼 오피스, 남북 산업단지(KCN) 부지 확보.
76|Thuế & Kế toán||세무 & 회계
77|||
78||VAS bookkeeping, CIT/VAT filings, and bilingual KR-VN financial statements every quarter.|VAS 기준 기장, 법인세/부가세 신고, 분기별 한·베 이중 언어 재무제표 제공.
79|Nhân sự & Lao động||인사 & 노무
80|||
81||Expert work permits, 2-3 year TRC residence cards, payroll, and Korean-speaking recruitment.|전문가 워크퍼밋, 2~3년 TRC 체류카드, 급여 관리, 한국어 인재 채용 지원.
82|Trước và sau: phân mảnh so với hợp nhất|Before and after: fragmented versus integrated|분산된 구조와 통합된 구조 비교
83|Phân mảnh → Kết nối||분산 → 통합
84|Nhiều nhà cung cấp rời rạc,|Many disconnected providers,|여러 공급업체로 흩어진 구조,
85|hay một đối tác kết nối?|or one connected partner?|아니면 하나로 연결된 파트너?
86|Kéo thanh trượt để so sánh mô hình|Drag the slider to compare the models|슬라이더를 움직여 두 모델을 비교해 보세요
87|KHÔNG CÓ DAON||DAON 없이
88|và|and|그리고
89|CÓ DAON||DAON과 함께
90|Không có DAON||DAON 없이
91|5-6 nhà cung cấp · nhiều đầu mối liên hệ|5-6 providers · many points of contact|5~6개 업체 · 여러 담당 창구
92|KẾ TOÁN||회계
93|PHÁP LÝ||법무
94|NHÂN SỰ||인사
95|ĐẠI LÝ ĐỊA PHƯƠNG||현지 에이전트
96|Không có sự tích hợp|Zero integration|통합 없음
97|Nhiều hợp đồng · báo cáo phân tán · chi phí ẩn|Multiple contracts · scattered reports · hidden costs|여러 계약 · 분산된 보고 · 숨은 비용
98|Rào cản ngôn ngữ|Language barriers|언어 장벽
99|Báo cáo phân mảnh||분산된 보고
100|Nhiều đầu mối liên hệ||여러 담당자
101|Chi phí ẩn||숨은 비용
102|Rủi ro cấu trúc||구조적 리스크
103|Cùng DAON||DAON과 함께
104|Một đối tác · một luồng kết nối|One partner · one connected flow|하나의 파트너 · 하나로 연결된 흐름
105|Một luồng kết nối||하나로 연결된 흐름
106|Một đầu mối tiếng Hàn → một vận hành tích hợp|One Korean channel → one integrated operation|하나의 한국어 채널 → 하나의 통합 운영
107|Một đầu mối tiếng Hàn|One Korean channel|단일 한국어 채널
108|Báo cáo tích hợp|Integrated reporting|통합 보고
109|Chi phí minh bạch|Transparent costs|투명한 비용
110|Tuân thủ cấu trúc|Structural compliance|구조적 컴플라이언스
111|Thanh trượt so sánh trước/sau|Before/after comparison slider|비교 슬라이더 (전/후)
112|Giữ và kéo|Hold and drag|길게 눌러 드래그
113|Luồng tích hợp DAON|DAON integrated flow|DAON 통합 흐름
114|Một luồng kết nối||하나로 연결된 흐름
115|Bảy bước, một hành trình|Seven steps, one journey|일곱 단계, 하나의 여정
116|xuyên Việt|across Vietnam|베트남 전역을 관통
117|Một đường kết nối duy nhất chạy xuyên qua toàn bộ chuỗi vận hành — từ tư vấn đến hỗ trợ thường xuyên.|A single connection line runs through the whole operating chain — from consultation to ongoing support.|상담부터 상시 지원까지 운영 전 과정을 관통하는 단 하나의 연결선.
118|1-3 NGÀY||1-3일
119|TƯ VẤN||상담
120|Mục tiêu ·||목표 ·
121||Initial feasibility assessment|초기 타당성 검토
122|||
123|Rà soát mã ngành WTO, tỷ lệ sở hữu, thuế sơ bộ|WTO industry code review, ownership ratio, preliminary tax|WTO 업종 코드 검토, 지분율, 예비 세무 검토
124|Khách hàng ·||고객 ·
125|Cung cấp các mô hình kinh doanh|Sharing business models|비즈니스 모델 제공
126|Bàn giao ·||산출물 ·
127||Legal feasibility report|법률 타당성 보고서
128|3-5 NGÀY||3-5일
129|THẨM ĐỊNH||검토
130|Kiểm định hồ sơ và rủi ro|Document review and risk assessment|서류 검증 및 리스크 평가
131|Thẩm tra địa chỉ, hợp đồng thuê, công chứng|Verifying address, lease agreement, notarised documents|주소, 임대차 계약, 공증 서류 확인
132|Bổ sung hồ sơ, giấy chứng nhận|Completing files and certificates|서류 및 증명서 보완
133|Danh mục kiểm tra + đánh giá rủi ro|Checklist + risk assessment|체크리스트 + 리스크 평가
134|5-7 NGÀY||5-7일
135|CẤU TRÚC||구조 설계
136|Cấu trúc công ty và thuế|Corporate and tax structure|법인 및 세무 구조
137|Điều lệ song ngữ, cơ cấu cổ đông|Bilingual charter, shareholder structure|이중 언어 정관, 주주 구조
138|Phê duyệt điều lệ và vốn|Approval of charter and capital|정관 및 자본금 승인
139|Hoàn tất hồ sơ đầu tư|Complete investment dossier|투자 서류 일체 완성
140|15-25 NGÀY||15-25일
141|THÀNH LẬP||설립
142|Nhận giấy phép IRC & ERC|Obtaining IRC & ERC licences|IRC & ERC 인허가 취득
143|Nộp và nhận giấy phép tại Bộ KH&ĐT|Filing and collecting licences at the Ministry of Planning and Investment|계획투자부(MPI) 인허가 신청 및 수령
144|Góp vốn điều lệ|Charter capital contribution|자본금 납입
145|Bản gốc IRC & ERC|IRC & ERC originals|IRC & ERC 원본
146|THIẾT LẬP||셋업
147|Kích hoạt hạ tầng tài chính|Activating financial infrastructure|금융 인프라 활성화
148|Con dấu công ty, chữ ký số, mở tài khoản DICA|Company seal, e-signature, DICA account opening|법인 인감, 전자 서명, DICA 계좌 개설
149|Ký giấy ủy quyền ngân hàng|Signing bank authorisations|은행 위임장 서명
150|Tài khoản đầu tư DICA + giải ngân vốn|DICA investment account + capital injection|DICA 투자 계좌 + 자본금 입금
151|ĐỊNH KỲ|PERIODIC|정기
152|VẬN HÀNH||운영
153|Vận hành tuân thủ sau thành lập|Compliant operation after incorporation|설립 이후 컴플라이언스 운영
154|Kê khai CIT/VAT, kế toán VAS, Work Permit + TRC|CIT/VAT filings, VAS bookkeeping, Work Permit + TRC|CIT/VAT 신고, VAS 기장, 워크퍼밋 + TRC
155|Dữ liệu giao dịch đúng hạn|Transaction data on time|거래 데이터 기한 내 제공
156|Báo cáo song ngữ KR-VN, TRC 2-3 năm|Bilingual KR-VN reports, TRC 2-3 years|한·베 이중 언어 보고서, TRC 2-3년
157|LIÊN TỤC|ONGOING|상시
158|HỖ TRỢ||지원
159|Phát triển ổn định tại Việt Nam|Stable growth in Vietnam|베트남에서의 안정적 성장
160|Quyết toán năm, luật lao động, mạng lưới KORCHAM/KOTRA|Annual finalisation, labour law, KORCHAM/KOTRA network|연간 결산, 노동법, KORCHAM/KOTRA 네트워크
161|Hỗ trợ lập báo cáo|Reporting collaboration|보고서 작성 협업
162|Một đầu mối liên hệ lâu dài|One permanent point of contact|상시 단일 담당 창구
163|Bốn nhóm dịch vụ cốt lõi|Four core service areas|네 가지 핵심 서비스 영역
164|4 năng lực → DAON Core||4가지 역량 → DAON 코어
165|Bốn giải pháp,|Four solutions,|네 가지 솔루션,
166|một hệ thống|one system|하나의 시스템
167|Yêu cầu báo giá nhanh|Request a quick quote|빠른 견적 요청
168|THÀNH LẬP CÔNG TY||법인 설립
169|Gia nhập thị trường · Giấy phép · IRC / ERC||시장 진입 · 인가 · IRC / ERC
170|Thành lập công ty FDI 100% vốn nước ngoài hoặc liên doanh, trọn gói giấy phép tại Bộ KH&ĐT và tư vấn M&A.|Setting up 100% foreign-invested or JV companies, complete licensing at the Ministry of Planning and Investment, plus M&A advisory.|100% 외국인 투자 또는 합작(JV) 법인 설립, 계획투자부 인허가 일괄 처리, M&A 자문.
171|||
172|Văn phòng đại diện||대표사무소
173|Tư vấn M&A||M&A 자문
174|THỜI GIAN 15-25 ngày|TURNAROUND 15-25 days|소요 기간 15-25일
175|Bắt đầu →|Get started →|시작하기 →
176|Thiết lập văn phòng · Địa chỉ · Mặt bằng · Vận hành||사무실 셋업 · 주소 · 워크스페이스 · 운영
177|Địa chỉ đăng ký, văn phòng dịch vụ/virtual và mặt bằng KCN — hơn 45 khu công nghiệp từ Bắc vào Nam.|Registered address, serviced/virtual offices, and industrial zone space — over 45 zones from North to South.|등록 주소, 서비스드/버추얼 오피스, 산업단지 부지 — 남북 45개 이상 산업단지 네트워크.
178|||버추얼 & 서비스드
179|KCN (RBF/RBW)||산업단지 (RBF/RBW)
180|PCCC & Môi trường|Fire safety & Environment|소방(PCCC) & 환경
181|MẠNG LƯỚI 45+ KCN|45+ KCN NETWORK|45개 이상 산업단지
182|Xem mặt bằng →|See the spaces →|공간 보기 →
183|THUẾ & KẾ TOÁN||세무 & 회계
184|Kế toán · CIT · VAT · Báo cáo||회계 · CIT · VAT · 보고
185|Kế toán theo VAS, kê khai TNDN/GTGT và báo cáo tài chính song ngữ KR-VN gửi trực tiếp ban điều hành.|VAS-compliant bookkeeping, TNDN/GTGT filings, and bilingual KR-VN financial reports straight to management.|VAS 기준 기장, 법인세(CIT)/부가세(VAT) 신고, 경영진 대상 한·베 이중 언어 재무보고서 제공.
186|Kế toán VAS||VAS 회계
187|TNDN / GTGT|CIT / VAT|법인세 / 부가세
188|Báo cáo năm|Annual report|연간 보고서
189|100% BÁO CÁO KR-VN|100% KR-VN REPORTING|100% 한·베 보고서
190|Đăng ký dịch vụ →|Request this service →|서비스 신청 →
191|Tuyển dụng · Payroll · Lao động · Tuân thủ||채용 · 급여 · 노무 · 컴플라이언스
192|Pháp lý hóa nhân sự, bảo lãnh visa dài hạn, Work Permit, TRC 2-3 năm và tuyển dụng nhân sự nói tiếng Hàn.|Staff legalisation, long-term visa sponsorship, Work Permit, 2-3 year TRC, and Korean-speaking recruitment.|인력 합법화, 장기 비자 보증, 워크퍼밋, 2-3년 TRC, 한국어 인재 채용.
193|||
194|TRC 2-3 năm|TRC 2-3 years|TRC 2-3년
195|Headhunt Hàn Quốc||한국어 인재 헤드헌팅
196|HIỆU QUẢ 99.4%|SUCCESS RATE 99.4%|승인율 99.4%
197|Tư vấn TRC →|TRC advisory →|TRC 상담 →
198|Vì sao DAON — so sánh mô hình|Why DAON — model comparison|DAON을 선택하는 이유 — 모델 비교
199|Năm nhà cung cấp... hay|Five providers... or|다섯 개 업체... 아니면
200|một đầu mối chịu trách nhiệm|one point of accountability|단일 책임 창구
201|NHÀ CUNG CẤP||공급업체
202|Mô hình thuê ngoài phân tán|Scattered outsourcing model|분산 발주 모델
203|Nhiều đầu mối liên hệ|Multiple contact points|여러 담당 창구
204|Nhiều loại báo cáo khác nhau|Multiple different reports|제각각 다른 보고서
205|Chi phí ẩn và rủi ro cấu trúc|Hidden costs and structural risks|숨은 비용과 구조적 리스크
206|Thiếu nhất quán về ngôn ngữ và cấu trúc — đặc biệt rủi ro khi lần đầu vào thị trường Việt Nam.|No language or structural consistency — especially risky on a first entry into the Vietnamese market.|언어와 구조의 일관성이 없어 베트남 시장 첫 진입 시 리스크가 특히 큽니다.
207|Mô hình DAON||DAON 모델
208|Luồng kết nối ngay từ đầu|One connected flow from day one|시작부터 하나로 연결된 흐름
209|Một đầu mối tiếng Hàn duy nhất|One Korean point of contact|단일 한국어 담당 창구
210|Một luồng kết nối duy nhất|One connected flow|하나로 연결된 흐름
211|Một hệ thống chi phí và rủi ro|One billing and risk system|하나의 정산·리스크 관리 체계
212|Một đầu mối chịu trách nhiệm, một SLA, song ngữ KR-VN đầy đủ và liên tục từ tư vấn đến hỗ trợ thường xuyên — trong cùng một tổ chức.|One point of accountability, one SLA, full KR-VN bilingual capability, and continuity from consultation to ongoing support — within a single organisation.|단일 책임 창구, 단일 SLA, 완전한 한·베 이중 언어 지원, 상담부터 상시 지원까지 하나의 조직에서 연속적으로 제공합니다.
213|Quy trình gia nhập 7 bước|Seven-step entry process|7단계 진입 프로세스
214|7 bước → một hành trình||7단계 → 하나의 여정
215|Một con đường —|One path —|하나의 길 —
216|từ gia nhập đến ổn định|from entry to stabilisation|진입부터 안정화까지
217|cuộn để tiếp tục|scroll to continue|스크롤하여 진행
218|||
219|Mục tiêu:|Goal:|목표:
220|hiểu rõ kế hoạch kinh doanh và rủi ro|understanding the business plan and risks|비즈니스 계획 및 리스크 파악
221|||
222|phân tích khả thi, cấu trúc thuế, mã ngành WTO|feasibility analysis, tax structure, WTO code|타당성 분석, 세무 구조, WTO 업종 코드
223|Khách hàng:|Client:|고객:
224|cung cấp mô hình kinh doanh|sharing the business model|비즈니스 모델 제공
225|Bàn giao:|Deliverables:|산출물:
226|báo cáo khả thi|feasibility report|타당성 보고서
227|||
228|kiểm tra hình thức và đánh giá rủi ro|formal verification and risk assessment|서류 형식 검증 및 리스크 평가
229|thẩm định địa chỉ, hợp đồng thuê, công chứng|address due diligence, lease agreements, notarisation|주소 실사, 임대차 계약, 공증
230|trọn bộ hồ sơ thành lập|complete incorporation documents|설립 서류 일체
231|danh mục kiểm tra + báo cáo rủi ro|checklist + risk report|체크리스트 + 리스크 보고서
232|||
233|cấu trúc công ty và thuế tối ưu|optimal corporate and tax structure|최적 법인·세무 구조
234|điều lệ song ngữ, cổ đông, vốn|bilingual charter, shareholders, capital|이중 언어 정관, 주주, 자본금
235|phê duyệt điều lệ và góp vốn|charter approval and capital contribution|정관 승인 및 자본금 납입
236|hồ sơ đăng ký hoàn chỉnh|complete registration dossier|등기 서류 일체
237|||
238|đăng ký công ty và giấy phép|company and licence registration|법인 및 인허가 등록
239|IRC/ERC tại cơ quan, luân chuyển hồ sơ|IRC/ERC at the authority, document circulation|관청 IRC/ERC 신청, 서류 회람
240|góp vốn vào DICA theo tiến độ|capital injection into DICA per schedule|일정에 따른 DICA 자본금 납입
241|bản gốc IRC & ERC|original IRC & ERC|IRC & ERC 원본
242|||
243|kích hoạt hạ tầng vận hành|activating operating infrastructure|운영 인프라 활성화
244|con dấu, chữ ký số, tài khoản DICA|seal, e-signature, DICA account|인감, 전자 서명, DICA 계좌
245|ủy quyền ngân hàng và SSP|bank authorisations and SSP|은행 위임장 및 SSP
246|DICA sẵn sàng nhận vốn|DICA ready for capital|자본금 입금 준비 완료(DICA)
247|||
248|vận hành tuân thủ đầy đủ|fully compliant operation|완전한 컴플라이언스 운영
249|CIT/VAT, kế toán tổng hợp VAS, Work Permit + TRC|CIT/VAT, VAS core bookkeeping, Work Permit + TRC|CIT/VAT, VAS 기장, 워크퍼밋 + TRC
250|dữ liệu giao dịch hằng tháng|monthly transaction data|월별 거래 데이터
251|báo cáo KR-VN, TRC 2-3 năm|KR-VN reports, TRC 2-3 years|한·베 보고서, TRC 2-3년
252|||
253|tăng trưởng ổn định, không gián đoạn|stable growth without interruption|중단 없는 안정적 성장
254|quyết toán năm, luật lao động, mạng KOTRA/KORCHAM|annual finalisation, labour law, KOTRA/KORCHAM network|연간 결산, 노동법, KOTRA/KORCHAM 네트워크
255|hỗ trợ lập báo cáo|reporting support|보고서 작성 지원
256|SLA và một đầu mối liên hệ|SLA and one point of contact|SLA 및 단일 담당 창구
257|Câu hỏi thường gặp|Frequently asked questions|자주 묻는 질문
258|FAQ / Kiến thức||FAQ / 인사이트
259|Những câu hỏi chúng tôi thường nghe|Questions we hear|고객이 자주 묻는 질문
260|nhiều nhất|most often|가장 많이
261|Chi phí thành lập công ty tại Việt Nam là bao nhiêu?|How much does it cost to set up a company in Vietnam?|베트남에서 법인 설립 비용은 얼마인가요?
262|Chi phí phụ thuộc vào cấu trúc và vốn điều lệ. DAON chuẩn bị bảng giá đầy đủ sau khi phân tích mô hình của bạn — không có chi phí ẩn.|Cost depends on structure and charter capital. DAON prepares a full quote after analysing your model — with no hidden items.|비용은 법인 구조와 자본금에 따라 달라집니다. DAON은 비즈니스 모델 분석 후 숨은 항목 없는 전체 견적을 제시합니다.
263|Mất bao lâu để đăng ký hoạt động?|How fast can the entity be registered?|사업 등록은 얼마나 걸리나요?
264|Toàn bộ quá trình thường mất|The whole process usually takes|전체 절차는 보통
265|20–30 ngày làm việc|20–30 working days|20~30 영업일
266|(IRC ~15 ngày, ERC ~3–5 ngày). Nhờ chuẩn bị hồ sơ tại chỗ và luân chuyển công chứng, chúng tôi rút ngắn tối đa thời gian này.|(IRC ~15 days, ERC ~3–5 days). Local document preparation and notarised circulation let us cut this time to a minimum.|(IRC 약 15일, ERC 약 3~5일). 현지 서류 준비와 공증 절차로 이 기간을 최소화합니다.
267|Doanh nghiệp Hàn Quốc cần chuẩn bị gì trước khi bắt đầu?|What must a Korean company prepare before starting?|한국 기업이 시작 전에 준비해야 할 것은 무엇인가요?
268|Chỉ cần kế hoạch kinh doanh, hồ sơ người sáng lập (công chứng, apostille Hàn Quốc) và quyết định về vốn. Phần còn lại — phân tích rủi ro, hợp đồng, điều lệ song ngữ — đội ngũ DAON sẽ chuẩn bị.|A business plan, founder documents (notarised, Korean apostille) and a capital decision are enough. The rest — risk analysis, contracts, bilingual charters — is prepared by the DAON team.|사업 계획서, 설립자 서류(공증 및 한국 아포스티유), 자본금 결정만 준비하시면 됩니다. 리스크 분석, 계약, 이중 언어 정관 등 나머지는 DAON 팀이 준비합니다.
269|DAON có hỗ trợ sau khi đăng ký không?|Does DAON support the company after registration too?|등록 이후에도 DAON이 지원하나요?
270|Có — đó là nền tảng của chúng tôi. Chúng tôi thực hiện kế toán VAS, kê khai CIT/VAT, hồ sơ nhân sự, Work Permit và TRC, đồng thời kết nối doanh nghiệp với mạng lưới KORCHAM/KOTRA và các ngân hàng Hàn Quốc (Shinhan, Woori).|Yes — that is our foundation. We run VAS bookkeeping, CIT/VAT filings, HR records, Work Permit and TRC, and connect companies with the KORCHAM/KOTRA network and Korean banks (Shinhan, Woori).|네. 이것이 DAON의 핵심입니다. VAS 기장, CIT/VAT 신고, 인사 기록, 워크퍼밋과 TRC를 수행하고, KORCHAM/KOTRA 네트워크 및 한국계 은행(신한, 우리)과 연결해 드립니다.
271|Đội ngũ DAON có hỗ trợ giao tiếp bằng tiếng Hàn?|Does the DAON team communicate in Korean?|DAON 팀은 한국어로 소통하나요?
272|Có, 100%.|Yes, 100%.|네, 100% 가능합니다.
273|Bạn có một chuyên viên tư vấn nói tiếng Hàn chuyên trách từ lần liên hệ đầu tiên đến vận hành hằng ngày, và nhận báo cáo tài chính bằng cả tiếng Hàn và tiếng Việt.|You get one dedicated Korean-speaking consultant from first contact through daily operations, and financial reports in both Korean and Vietnamese.|첫 상담부터 일상 운영까지 전담 한국어 컨설턴트가 배정되며, 재무 보고서는 한국어와 베트남어로 제공됩니다.
274|Công cụ mô phỏng gia nhập thị trường|Market entry simulator|시장 진입 시뮬레이터
275|Mô phỏng gia nhập thị trường||시장 진입 시뮬레이터
276|Xây dựng lộ trình||베트남 진출
277|gia nhập Việt Nam.||로드맵을 만들어 보세요.
278|Chọn ngành, hình thức đầu tư và quy mô — chúng tôi sẽ tạo kế hoạch hành động sơ bộ tại Việt Nam trong vài giây.|Choose your industry, investment type and scale — we will draft a preliminary Vietnam action plan in seconds.|업종, 투자 형태, 규모를 선택하시면 몇 초 만에 베트남 진입 예비 실행 계획을 만들어 드립니다.
279|Ngành dự án|Industry|프로젝트 업종
280|Hình thức đầu tư|Investment type|투자 형태
281|Quy mô nhân sự|Headcount scale|고용 규모
282|Bước 01 · Ngành|STEP 01 · Industry|STEP 01 · 업종
283|Dự án của bạn thuộc ngành nào?|What industry is your project in?|프로젝트 업종은 무엇인가요?
284|||
285|Sản xuất||제조
286|Công nghệ / IT|Technology / IT|테크놀로지 / IT
287|||
288|F&B / Nhà hàng|F&B / Restaurants|F&B / 외식
289|||
290|Thương mại / Dịch vụ|Trading / Services|무역 / 서비스
291|Tiếp tục →|Next →|다음 →
292|Bước 02 · Hình thức đầu tư|STEP 02 · Investment type|STEP 02 · 투자 형태
293|Bạn muốn gia nhập thị trường theo cách nào?|How do you want to enter the market?|어떤 방식으로 시장에 진입하시겠어요?
294|Công ty 100% vốn nước ngoài|100% foreign-invested company|100% 외국인 투자 법인
295|||
296|Mua lại công ty hiện hữu (M&A)|Acquiring an existing company (M&A)|기존 법인 인수 (M&A)
297|||
298|Văn phòng đại diện|Representative office|대표사무소
299|← Quay lại|← Back|← 이전
300|Bước 03 · Quy mô nhân sự|STEP 03 · Headcount|STEP 03 · 고용 규모
301|Bạn dự kiến tuyển bao nhiêu người khi bắt đầu?|How many people will you hire at the start?|초기에 몇 명을 채용할 계획인가요?
302|vài người|a few people|소수 인원
303|đội ngũ trung bình|mid-size team|중간 규모 팀
304|tổ chức lớn|large organisation|대규모 조직
305|Tạo lộ trình →|Generate roadmap →|로드맵 생성 →
306|Kết quả của bạn|Your result|결과
307|LỘ TRÌNH SƠ BỘ CỦA BẠN||예비 로드맵
308|↓ Tải lộ trình||↓ 로드맵 다운로드
309|Nói chuyện với chuyên gia DAON →||DAON 전문가와 상담 →
310|01 Cấu trúc||01 구조 설계
311|phân tích pháp lý - thuế|legal and tax analysis|법률·세무 분석
312|02 Thành lập||02 설립
313|đăng ký IRC / ERC|IRC / ERC registration|IRC / ERC 등록
314|03 Thiết lập||03 셋업
315|tài khoản DICA + hạ tầng|DICA account + infrastructure|DICA 계좌 + 인프라
316|04 Vận hành||04 운영
317|VAS, giấy phép, TRC|VAS, permits, TRC|VAS, 허가, TRC
318|* Chỉ là hướng dẫn sơ bộ. Yêu cầu cuối cùng phụ thuộc vào cấu trúc doanh nghiệp và quy định hiện hành. Nội dung này không phải ý kiến pháp lý ràng buộc.|* Preliminary guidance only. Final requirements depend on business structure and applicable regulations. This is not binding legal advice.|* 예비 안내입니다. 최종 요건은 사업 구조와 관련 법규에 따라 달라지며, 법적 구속력이 있는 의견이 아닙니다.
319|Bắt đầu tư vấn|Start a consultation|상담 시작
320|Bắt đầu hành trình||여정을 시작하세요
321|Sẵn sàng gia nhập Việt Nam?|Ready to enter Vietnam?|베트남 진출, 준비되셨나요?
322|Hãy bắt đầu hành trình kinh doanh tại Việt Nam.|Start your Vietnam market entry today.|
323|Hãy chia sẻ kế hoạch kinh doanh của bạn. Chúng tôi sẽ giúp cấu trúc các bước tiếp theo.|Tell us your business plan. We'll help structure the next steps.|사업 계획을 알려주시면 다음 단계를 함께 설계해 드립니다.
324|Tư vấn 1:1 bằng tiếng Hàn|1:1 consultation in Korean|한국어 1:1 상담
325|Chuyên gia phản hồi trong 2 giờ làm việc|Expert response within 2 business hours|영업시간 2시간 내 전문가 회신
326|Ký NDA và bảo mật dữ liệu hoàn toàn|NDA and full data confidentiality|NDA 체결 및 데이터 완전 비밀 유지
327|Hỗ trợ bằng tiếng Hàn (한국어)|Support in Korean|한국어 지원
328|Liên hệ trực tiếp|Direct contact|직접 연락
329|Hotline (VN/KR):||핫라인 (VN/KR):
330|||
331|||
332|Gangnam Teheran-ro · Seoul / TP.HCM · Hà Nội|Gangnam Teheran-ro · Seoul / Ho Chi Minh City · Hanoi|강남 테헤란로 · 서울 / 호치민 · 하노이
333|Công ty *|Company *|회사명 *
334|vd. Samsung / Naver|e.g. Samsung / Naver|예: Samsung / Naver
335|Người liên hệ *|Contact person *|담당자 *
336|||
337|Điện thoại / KakaoTalk ID *||전화 / 카카오톡 ID *
338|||
339|E-mail *||이메일 *
340|||
341|Lĩnh vực quan tâm:|Areas of interest:|관심 분야:
342|Lĩnh vực quan tâm|Areas of interest|관심 분야
343|Thành lập FDI|FDI establishment|FDI 법인 설립
344|Văn phòng / nhà xưởng|Office / plant|사무실 / 공장
